repository,representative_commit,file,line,text,commit_occurrences,platform,core,revision,offset,read_width,moment,power_clock,locks,reset_init_order,read_side_effects,source_kind,confidence
omap5-sgx-ddk-linux,877a45ba3797fecdadcae35cc09103e9bec72b0e,eurasia_km/services4/srvkm/devices/sgx/sgxconfig.h,349,	#define SGX_CORE_IDENTIFIED,67,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,877a45ba3797fecdadcae35cc09103e9bec72b0e,eurasia_km/services4/srvkm/devices/sgx/sgxconfig.h,353,#if !defined(SGX_CORE_IDENTIFIED),67,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/devices/sgx/sgxconfig.h,419,	#define SGX_CORE_IDENTIFIED,99,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/devices/sgx/sgxconfig.h,423,#if !defined(SGX_CORE_IDENTIFIED),99,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,872aa64b227cadbc97755a4192919dd5ca637971,eurasia_km/services4/srvkm/devices/sgx/sgxinit.c,1283,"		SGXDumpDebugReg(psDevInfo, 0, ""EUR_CR_CORE_ID:          "", EUR_CR_CORE_ID);",21,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,UNKNOWN for this occurrence; canonical paths traced in audit,version/debug context; see canonical audit,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN,C expression; not necessarily a read,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,872aa64b227cadbc97755a4192919dd5ca637971,eurasia_km/services4/srvkm/devices/sgx/sgxinit.c,1284,"		SGXDumpDebugReg(psDevInfo, 0, ""EUR_CR_CORE_REVISION:    "", EUR_CR_CORE_REVISION);",21,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,UNKNOWN for this occurrence; canonical paths traced in audit,version/debug context; see canonical audit,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN,C expression; not necessarily a read,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,877a45ba3797fecdadcae35cc09103e9bec72b0e,eurasia_km/services4/srvkm/devices/sgx/sgxinit.c,1288,"		SGXDumpDebugReg(psDevInfo, 0, ""EUR_CR_CORE_ID:          "", EUR_CR_CORE_ID);",46,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,UNKNOWN for this occurrence; canonical paths traced in audit,version/debug context; see canonical audit,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN,C expression; not necessarily a read,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,877a45ba3797fecdadcae35cc09103e9bec72b0e,eurasia_km/services4/srvkm/devices/sgx/sgxinit.c,1289,"		SGXDumpDebugReg(psDevInfo, 0, ""EUR_CR_CORE_REVISION:    "", EUR_CR_CORE_REVISION);",46,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,UNKNOWN for this occurrence; canonical paths traced in audit,version/debug context; see canonical audit,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN,C expression; not necessarily a read,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,82baf103b171ce138bef79c4194497a108e22df8,eurasia_km/services4/srvkm/devices/sgx/sgxinit.c,1350,"		SGXDumpDebugReg(psDevInfo, 0, ""EUR_CR_CORE_ID:          "", EUR_CR_CORE_ID);",9,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,UNKNOWN for this occurrence; canonical paths traced in audit,version/debug context; see canonical audit,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN,C expression; not necessarily a read,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,82baf103b171ce138bef79c4194497a108e22df8,eurasia_km/services4/srvkm/devices/sgx/sgxinit.c,1351,"		SGXDumpDebugReg(psDevInfo, 0, ""EUR_CR_CORE_REVISION:    "", EUR_CR_CORE_REVISION);",9,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,UNKNOWN for this occurrence; canonical paths traced in audit,version/debug context; see canonical audit,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN,C expression; not necessarily a read,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/devices/sgx/sgxinit.c,1353,"		SGXDumpDebugReg(psDevInfo, 0, ""EUR_CR_CORE_ID:          "", EUR_CR_CORE_ID);",90,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,UNKNOWN for this occurrence; canonical paths traced in audit,version/debug context; see canonical audit,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN,C expression; not necessarily a read,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/devices/sgx/sgxinit.c,1354,"		SGXDumpDebugReg(psDevInfo, 0, ""EUR_CR_CORE_REVISION:    "", EUR_CR_CORE_REVISION);",90,generic SGX DDK,UNKNOWN; selected by build,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,UNKNOWN for this occurrence; canonical paths traced in audit,version/debug context; see canonical audit,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN for Poulsbo,UNKNOWN,C expression; not necessarily a read,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,83,/* Register EUR_CR_CORE_ID */,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,84,#define EUR_CR_CORE_ID                      0x0010,99,generic SGX DDK,520,UNKNOWN physical revision,0x0010 (literal define),N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,85,#define EUR_CR_CORE_ID_CONFIG_MASK          0x0000FFFFU,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,86,#define EUR_CR_CORE_ID_CONFIG_SHIFT         0,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,87,#define EUR_CR_CORE_ID_ID_MASK              0xFFFF0000U,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,88,#define EUR_CR_CORE_ID_ID_SHIFT             16,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,89,/* Register EUR_CR_CORE_REVISION */,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,90,#define EUR_CR_CORE_REVISION                0x0014,99,generic SGX DDK,520,UNKNOWN physical revision,0x0014 (literal define),N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,91,#define EUR_CR_CORE_REVISION_MAINTENANCE_MASK 0x000000FFU,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,92,#define EUR_CR_CORE_REVISION_MAINTENANCE_SHIFT 0,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,93,#define EUR_CR_CORE_REVISION_MINOR_MASK     0x0000FF00U,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,94,#define EUR_CR_CORE_REVISION_MINOR_SHIFT    8,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,95,#define EUR_CR_CORE_REVISION_MAJOR_MASK     0x00FF0000U,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,96,#define EUR_CR_CORE_REVISION_MAJOR_SHIFT    16,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,97,#define EUR_CR_CORE_REVISION_DESIGNER_MASK  0xFF000000U,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx520defs.h,98,#define EUR_CR_CORE_REVISION_DESIGNER_SHIFT 24,99,generic SGX DDK,520,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,100,#define EUR_CR_CORE_REVISION_MINOR_SHIFT    8,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,101,#define EUR_CR_CORE_REVISION_MAJOR_MASK     0x00FF0000U,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,102,#define EUR_CR_CORE_REVISION_MAJOR_SHIFT    16,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,103,#define EUR_CR_CORE_REVISION_DESIGNER_MASK  0xFF000000U,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,104,#define EUR_CR_CORE_REVISION_DESIGNER_SHIFT 24,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,89,/* Register EUR_CR_CORE_ID */,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,90,#define EUR_CR_CORE_ID                      0x0010,166,generic SGX DDK,530,UNKNOWN physical revision,0x0010 (literal define),N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,91,#define EUR_CR_CORE_ID_CONFIG_MASK          0x0000FFFFU,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,92,#define EUR_CR_CORE_ID_CONFIG_SHIFT         0,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,93,#define EUR_CR_CORE_ID_ID_MASK              0xFFFF0000U,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,94,#define EUR_CR_CORE_ID_ID_SHIFT             16,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,95,/* Register EUR_CR_CORE_REVISION */,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,96,#define EUR_CR_CORE_REVISION                0x0014,166,generic SGX DDK,530,UNKNOWN physical revision,0x0014 (literal define),N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,97,#define EUR_CR_CORE_REVISION_MAINTENANCE_MASK 0x000000FFU,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,98,#define EUR_CR_CORE_REVISION_MAINTENANCE_SHIFT 0,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx530defs.h,99,#define EUR_CR_CORE_REVISION_MINOR_MASK     0x0000FF00U,166,generic SGX DDK,530,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx531defs.h,161,/* Register EUR_CR_CORE_ID */,75,generic SGX DDK,531,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx531defs.h,162,#define EUR_CR_CORE_ID                      0x0020,75,generic SGX DDK,531,UNKNOWN physical revision,0x0020 (literal define),N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx531defs.h,163,#define EUR_CR_CORE_ID_CONFIG_MASK          0x0000FFFFU,75,generic SGX DDK,531,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx531defs.h,164,#define EUR_CR_CORE_ID_CONFIG_SHIFT         0,75,generic SGX DDK,531,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx531defs.h,165,#define EUR_CR_CORE_ID_ID_MASK              0xFFFF0000U,75,generic SGX DDK,531,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx531defs.h,166,#define EUR_CR_CORE_ID_ID_SHIFT             16,75,generic SGX DDK,531,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
omap5-sgx-ddk-linux,bfd9edef3f976906fb7fececbfa29d16801154f5,eurasia_km/services4/srvkm/hwdefs/sgx531defs.h,167,/* Register EUR_CR_CORE_REVISION */,75,generic SGX DDK,531,UNKNOWN physical revision,UNKNOWN; resolve register definition for selected build,N/A (no transaction),N/A (definition),N/A (definition),N/A (definition),N/A (definition),UNKNOWN,header,UNKNOWN hardware applicability/read-safety
