elf_va,ghidra_va,original_name,proposed_roles,classification,evidence_class,reason,callers,callees,important_strings,important_imports
0x000215e2,0x000315e2,FUN_000315e2,DRI_Legacy.createNewDrawable,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Allocates 0x6c-byte wrapper and dispatches screen callback,0x000216e6,0x0001ead7;0x000909e4;0x00090b3c,,
0x000216e6,0x000316e6,FUN_000316e6,DRI_DRI2.createNewDrawable,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Calls legacy drawable constructor and allocates two 8-byte fields,,0x0001ead7;0x000215e2;0x00090b3c,,
0x00021757,0x00031757,FUN_00031757,DRI_Core.destroyContext,DRI_GLUE,CONFIRMED,Non-null pointer in Mesa 7.4.4 DRI descriptor field; body decompiled but not semantically resolved here,,0x0001ead7;0x000909e4,,
0x00021790,0x00031790,FUN_00031790,DRI_Core.swapBuffers,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Dispatches screen DriverAPI.SwapBuffers at screen +0x1c,,0x0001ead7;0x0002122c;0x000909e4;0x00090b3c,,
0x00021846,0x00031846,FUN_00031846,DRI_Core.destroyDrawable,DRI_GLUE,CONFIRMED,Non-null pointer in Mesa 7.4.4 DRI descriptor field; body decompiled but not semantically resolved here,,0x0001ead7;0x000909e4,,
0x000219fa,0x000319fa,FUN_000319fa,DRI_Core.bindContext,DRI_GLUE,CONFIRMED,Non-null pointer in Mesa 7.4.4 DRI descriptor field; body decompiled but not semantically resolved here,,0x000218ab,,
0x00021c89,0x00031c89,FUN_00031c89,DRI_DRI2.createNewScreen,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Tests null InitScreen2 table slot and returns null on that path,,0x0001e564;0x0001e8d4;0x0001ead7;0x00021b6a;0x000909e4;0x00090b3c,,drmFreeVersion;drmGetVersion
0x00021e0e,0x00031e0e,FUN_00031e0e,DRI_Legacy.createNewScreen,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Allocates 0xd4-byte screen and copies 16 DriverAPI pointers from 0x002b9660,,0x0001ead7;0x00021b6a;0x0004be92;0x000909e4;0x00090b11,,
0x00021f8d,0x00031f8d,FUN_00031f8d,DRI_Core.destroyScreen,DRI_GLUE,CONFIRMED,Mesa 7.4.4 descriptor field; Calls destructor and drmUnmap/drmCloseOnce conditionally,,0x0001e734;0x0001e984;0x0001ead7;0x000909e4,,drmCloseOnce;drmUnmap
0x0002673d,0x0003673d,FUN_0003673d,scene submit caller,POULSBO_USERSPACE,CONFIRMED,Calls 0x0002a39a with context scene pointer,,0x0001ead7;0x00025324;0x00027835;0x0002a39a;0x0003f364;0x0003f492;0x0004b8b4,,
0x00026896,0x00036896,FUN_00036896,indexed primitive draw,POULSBO_USERSPACE,CONFIRMED,pbr_draw_indexed_prim assertion; calls scene draw,0x00026a0f,0x0001e5e4;0x0001e644;0x0001e804;0x0001ead7;0x00027fa0;0x00051a1f,psb_render.c,
0x00027fa0,0x00037fa0,FUN_00037fa0,scene draw-elements,POULSBO_USERSPACE,CONFIRMED,psb_scene_draw_elements assertion; calls TA index-list builder,0x00026896,0x0001e5e4;0x0001ead7;0x00027eb2;0x00027f03;0x00029251;0x00029385;0x000373c0;0x00037409;0x0003b890,psb_scene_draw.c;psb_scene_draw_elements,
0x00029fbd,0x00039fbd,FUN_00039fbd,bounded eight-position scene setup,POULSBO_USERSPACE,CONFIRMED,Copies 128 bytes as eight four-dword positions and six u16 indices then creates USE/USSE and vertex output and TA record on selected branch,0x0002a2f6,0x0001ead7;0x00028fff;0x00029f38;0x00037409;0x0003b890;0x0003f94c;0x00040355;0x000909e4,,
0x0002a39a,0x0003a39a,FUN_0003a39a,scene finalization and submit,POULSBO_USERSPACE,CONFIRMED,Emits TA state and calls 0x00037b51 with engine-selection argument zero,0x0002673d,0x0001ead7;0x000276a0;0x00027890;0x00027f03;0x000282b0;0x00029d84;0x00037b51;0x000382ce;0x000384ab;0x00038762;0x0003b73b;0x00043955,,
0x00030fb7,0x00040fb7,FUN_00040fb7,USE/USSE instruction finalization,SGX_SPECIFIC,CONFIRMED,Sets end bit on last eight-byte instruction and closes output buffer; P7F-003 corrects earlier PDS label,0x000287ff;0x00029385;0x000392ab;0x00039ac4;0x00039c5c;0x00040355;0x0004252d,0x0001ead7;0x000384ab,,
0x00030ffd,0x00040ffd,FUN_00040ffd,USE/USSE instruction buffer setup,SGX_SPECIFIC,CONFIRMED,Reserves variable-length 8-byte-word buffer and zeros it; psb_use.c assertion in next-instruction helper,0x000287ff;0x00029385;0x000392ab;0x00039ac4;0x00039c5c;0x00040355;0x0004252d,0x0001e594;0x0001ead7;0x00038762,,
0x00034ce4,0x00044ce4,FUN_00044ce4,vertex USC compile wrapper,SGX_SPECIFIC,CONFIRMED,psbCompileVPProgusc assertion; calls compiler path and records result,0x00034746,0x0001e5e4;0x0001ead7;0x000348a5;0x0008ff66;0x0009092d;0x001c6b56,PVRUniFlexCompileToHw failed;psb_use_compiler.c,
0x0003503d,0x0004503d,FUN_0004503d,fragment USC compile wrapper,SGX_SPECIFIC,CONFIRMED,psbCompileProgusc assertion; calls compiler path and records result,0x00033490,0x0001e5e4;0x0001ead7;0x000348a5;0x0008ff66;0x0009092d;0x001c6b56,PVRUniFlexCompileToHw failed;psb_use_compiler.c,
0x000374f5,0x000474f5,FUN_000474f5,direct scene-unref request,DRM_PSB,CONFIRMED,Calls drmCommandWriteRead with index 3 and size 0x14,0x00027735,0x0001e794;0x0001ead7,,drmCommandWriteRead
0x00037854,0x00047854,FUN_00047854,offset relocation builder,DRM_PSB,CONFIRMED,psbSetOffsetRelocation assertion; fills relocation words,0x00025970;0x000287ff;0x00029385;0x0002ab70;0x0002b140;0x0002b258;0x0002ee34;0x00038d87;0x000392ab;0x00039c5c;0x00039ea0;0x0003b125,0x0001e5e4;0x0001ead7;0x00043efe;0x000443d1;0x0004521d,buf->reloc_allocation - reloc > 0;psbSetOffsetRelocation;psb_ioctl.c,
0x00037b51,0x00047b51,FUN_00047b51,direct command submit wrapper,DRM_PSB,CONFIRMED,Builds 0x90-byte stack argument and calls drmCommandWrite index 0,0x0002a39a;0x000464e0;0x00046924,0x0001e9e4;0x0001ead7;0x00037534;0x00037b10;0x00043905;0x00043a7c;0x00043efe;0x00044107;0x0004418f;0x0004423a;0x000442bd;0x00045124,SuperFence,drmCommandWrite
0x000384ab,0x000484ab,FUN_000484ab,output buffer release,DRM_PSB,CONFIRMED,psb_outbuf.c assertions; closes allocation and checks relocation capacity,0x00025970;0x00026434;0x000264b7;0x000287ff;0x00029385;0x0002a39a;0x0002ab70;0x0002b140;0x0002b258;0x0002ee34;0x00030fb7;0x00037409,0x0001e5e4;0x0001ead7,cb->reloc_allocation - cb->curReloc >= 0;outbuf->bufaddr->size <= outbuf->allocation;psb_outbuf.c;psb_outbuf_release,
0x00038762,0x00048762,FUN_00048762,output buffer allocator,DRM_PSB,CONFIRMED,psb_outbuf.c assertions; reserves mapped CPU space and BO offset,0x00025970;0x00026434;0x000264b7;0x000287ff;0x00029385;0x0002a39a;0x0002ab70;0x0002b140;0x0002b258;0x0002ee34;0x00030ffd;0x00037409,0x0001e5e4;0x0001ead7;0x000385ed;0x0003865f;0x00043c89;0x00043d8c;0x000443d1,(((unsigned long)outbuf->map) & (align-1)) == 0;align <= outbuf->alignment;outbuf->allocation == 0;outbuf->pool_bufsize >= minsize;outbuf->ptr;psb_outbuf.c;psb_outbuf_alloc_named;psb_outbuf_increase_allocation,
0x0003aa2a,0x0004aa2a,FUN_0004aa2a,historical swap copy,POULSBO_USERSPACE,CONFIRMED,psb_swapbuffers.c assertion and branch to 2D blit builder,0x00047716;0x000477b3;0x0004921d,0x0001e404;0x0001e5e4;0x0001e624;0x0001e654;0x0001e9b4;0x0001ead7;0x000218ab;0x000276a0;0x00044097;0x00044107;0x000452c7;0x000464e0,intel->swap_fences[0] == ((void *)0);psb_swapbuffers.c,drmGetLock;drmUnlock
0x0003b125,0x0004b125,FUN_0004b125,swap command-word builder,POULSBO_USERSPACE,CONFIRMED,psb_emit_cmd_buffer assertion; reserves output and attaches relocations,0x00046924,0x0001e5e4;0x0001ead7;0x00037854;0x000384ab;0x00038762,psb_emit_cmd_buffer;psb_swapbuffers.c,
0x0003b606,0x0004b606,FUN_0004b606,PDS input state emission,SGX_SPECIFIC,CONFIRMED,psb_ta.c assertion; emits state words for PDS data,0x00029385,0x0001e5e4;0x0001ead7;0x00037854;0x000384ab;0x00038762,(stateprog->pds.data_dwords * sizeof(int)) % (1<<4) == 0;psb_ta.c;psb_ta_input_state,
0x0003b73b,0x0004b73b,FUN_0004b73b,PDS TA state emission,SGX_SPECIFIC,CONFIRMED,psb_ta.c assertion; emits state words for PDS data,0x00028fff;0x0002a39a,0x0001e5e4;0x0001ead7;0x00037854;0x000384ab;0x00038762,(stateprog->pds.data_dwords * sizeof(int)) % (1<<4) == 0;psb_ta.c;psb_ta_state,
0x0003b890,0x0004b890,FUN_0004b890,TA index-list builder,SGX_SPECIFIC,CONFIRMED,psb_ta_index_list assertion; reserves 0x14 bytes and records relocations,0x00027fa0;0x00029fbd;0x0002a794,0x0001e5e4;0x0001ead7;0x00037854;0x000384ab;0x00038762;0x0003b430,"psb_ta.c;psb_ta_index_list;psb_validate_index_count(primitive_type, index_count)",
0x00040355,0x00050355,FUN_00050355,vertex USE/USSE and state-output path,SGX_SPECIFIC,CONFIRMED,psb_vs.c assertion; emits USE instructions and separate relocatable vertex output block; P7F-003 corrects narrower earlier label,0x00029dd9;0x00029fbd;0x0002a794,0x0001e5e4;0x0001ead7;0x00030a09;0x00030e22;0x00030fb7;0x00030ffd;0x00037854;0x000381a0;0x000384ab;0x00038762;0x0003a82c;0x0003fa00,psb_use.h;psb_vs.c,
0x0004252d,0x0005252d,FUN_0005252d,vertex PDS hardware upload path,SGX_SPECIFIC,CONFIRMED,psb_vs.c assertion; constructs program/output block,0x00029dd9,0x0001e5e4;0x0001e704;0x0001ead7;0x00030a09;0x00030fb7;0x00030ffd;0x00037854;0x000381a0;0x000384ab;0x00038762;0x0003a82c;0x0003fa00,psb_vs.c,
0x0004297b,0x0005297b,FUN_0005297b,BO pool creator,DRM_PSB,CONFIRMED,Calls drmBOCreate/Map/Unmap and builds per-buffer records,0x00048592,0x0001e454;0x0001e5b4;0x0001e644;0x0001e684;0x0001e784;0x0001e804;0x0001e964;0x0001ead7,,drmBOCreate;drmBOMap;drmBOUnmap;drmBOUnreference
0x00044097,0x00054097,FUN_00054097,fence wait wrapper,DRM_PSB,CONFIRMED,Locks mutex and calls drmFenceWait,0x000278eb;0x0003aa2a;0x00042c98;0x00042ed3,0x0001e694;0x0001e7a4;0x0001e824;0x0001ead7,,drmFenceWait
0x000464e0,0x000564e0,FUN_000564e0,2D copy command builder,POULSBO_USERSPACE,CONFIRMED,intel_blit.c assertion; emits words and calls 0x00037b51,0x0003aa2a;0x00046924,0x0001e5e4;0x0001ead7;0x00027890;0x0002794b;0x00037854;0x00037b51;0x000384ab;0x00038762;0x0004b8b4;0x0004ba10;0x0004c1bc,intel_blit.c,
0x00046924,0x00056924,FUN_00056924,alternate swap copy path,POULSBO_USERSPACE,CONFIRMED,Calls 0x0003b125 and direct submit wrapper,0x0003aa2a;0x0004f770,0x0001e404;0x0001ead7;0x00027890;0x0002794b;0x0002f0b3;0x00037b51;0x000392ab;0x00039c5c;0x0003b125;0x000464e0;0x0004b8b4;0x0004ba10,,
0x000477b3,0x000577b3,FUN_000577b3,driver swap callback,POULSBO_USERSPACE,CONFIRMED,Notifies Mesa then calls 0x0003aa2a copy path,,0x0001e7d4;0x0001ead7;0x0003a978;0x0003aa2a;0x0004926d;0x00051860;0x000556e0;0x0008ff66,,
0x0004be92,0x0005be92,FUN_0005be92,driver screen init,POULSBO_USERSPACE,CONFIRMED,Checks PsbDRIRec size 0x20 and installs five-entry screen extension list,0x00021e0e,0x0001e4a4;0x0001e7c4;0x0001ead7;0x0001eef4;0x0001ef48;0x00023686;0x0004855d;0x00090b11,poulsbo,
0x001fb7af,0x0020b7af,FUN_0020b7af,USSE code-generation path,SGX_SPECIFIC,CONFIRMED,usc/hw.c strings; allocates output and invokes generation helpers,0x001c6b56,0x0001e6d4;0x0001e704;0x0001ead7;0x001becf9;0x001f9d45;0x001fa136;0x001fa3ea;0x0023d344,(IMG_UINT32)((puUSSEInst - psState->puInstructions) / 2) == psState->uMainProgInstCount;Error generating SA-update USSE code;Error generating main USSE code;Error generating subroutine USSE code;Failed to alloc space for SA-update USSE code;Failed to alloc space for USSE code;usc/hw.c,
0x0004bd92,0x0005bd92,FUN_0005bd92,DriverAPI.CreateContext,DRI_GLUE,CONFIRMED,Relocation at 0x002b9668; historical Mesa 7.4.4 DriverAPI +0x08; calls 0x000371f0,,0x000371f0,,
0x000371f0,0x000471f0,FUN_000471f0,render/context setup,POULSBO_USERSPACE,CONFIRMED,Calls callback-table initializer 0x00026678 and stores result at context-derived +0x728,0x0004bd92,0x00026678,,
0x00026678,0x00036678,FUN_00036678,render callback-table initializer,POULSBO_USERSPACE,CONFIRMED,Allocates 0x68-byte table; installs 0x00026a0f +0x18; 0x00026896 +0x1c; 0x0002673d +0x28,0x000371f0,,,_mesa_calloc
0x00026dbd,0x00036dbd,FUN_00036dbd,scene-start callback,POULSBO_USERSPACE,CONFIRMED,Creates scene through 0x27060 and stores at context +0x81c; private table +0x08,0x00051860,0x00027060,pbr_start_render;psb_render.c,
0x00026c9f,0x00036c9f,FUN_00036c9f,vertex allocation retry,POULSBO_USERSPACE,CONFIRMED,On allocation failure calls 0x51a1f to cycle frame mode then retries,private table +0x0c,0x00051a1f,pbr_allocate_vertices;psb_render.c,
0x00051860,0x00061860,FUN_00061860,frame-tracker mode transition,POULSBO_USERSPACE,CONFIRMED,Old mode 3 calls renderer +0x28; new mode 3 calls renderer +0x08,multiple; see draw-to-submit.md,indirect 0x2673d;indirect 0x26dbd,intel_frame_set_mode;intel_frame_tracker.c,
0x00051a1f,0x00061a1f,FUN_00061a1f,mode recycle,POULSBO_USERSPACE,CONFIRMED,Transitions to mode 0 and restores previous mode,0x00026c9f;0x00026896,0x00051860,,
0x000483a3,0x000583a3,FUN_000583a3,flush helper,POULSBO_USERSPACE,CONFIRMED,Requests frame-tracker mode 0,0x000483d4;0x000493d1;other,0x00051860,,
0x000483d4,0x000583d4,FUN_000583d4,DRI UnbindContext flush,DRI_GLUE,CONFIRMED,Driver API +0x20 entry calls 0x483a3,driver API table +0x20,0x000483a3,,
0x000493d1,0x000593d1,FUN_000593d1,finish-like sync path,POULSBO_USERSPACE,INFERRED,Calls 0x4926d 0x483a3 and output-buffer/fence helper; exact GL role not fully proved,,0x0004926d;0x000483a3;0x000278eb,,
0x00048e50,0x00058e50,FUN_00058e50,renderer mode selection,POULSBO_USERSPACE,CONFIRMED,Chooses frame-tracker mode 3 or 4 based on renderer pointers,,0x00051860,,
0x000473bd,0x000573bd,FUN_000573bd,framebuffer attachment tracking,POULSBO_USERSPACE,CONFIRMED,On tracked color/depth pointer changes requests mode 0 then marks dirty bits,,0x00051860,,
0x0002d124,0x0003d124,FUN_0003d124,select active clip renderer,POULSBO_USERSPACE,CONFIRMED,Selects context +0x728 or alternate +0x724 and calls clip_set_render,state atom pointer at ELF 0x2b3374,0x000dd16d,,
0x000dd16d,0x000ed16d,clip_set_render,retain selected renderer,DRI_GLUE,CONFIRMED,Writes supplied render pointer into clip context +0xf8,0x0002d124,,,
0x000de7d5,0x000ee7d5,clip_pipe_emit,propagate and invoke selected renderer,DRI_GLUE,CONFIRMED,Copies clip +0xf8 to pipe +0x103c and calls selected table +0x1c on one branch,clip_create_prim_render,indirect 0x00026896 when mode-3 table selected,,
0x000dcc4a,0x000ecc4a,clip_vb,clipping vertex-buffer path,DRI_GLUE,CONFIRMED,Calls rendering-interface +0x18/+0x1c through clip context; exact private target path needs state correlation,0x00052fcc,indirect,,
0x00029251,0x00039251,FUN_00039251,scene dirty-state dispatcher,POULSBO_USERSPACE,CONFIRMED,Bit 2 at scene +0x554 calls 0x2a2f6; bit 1 calls 0x28fff,0x00027fa0,0x0002a2f6;0x00028fff,,
0x0002a2f6,0x0003a2f6,FUN_0003a2f6,scene twenty-byte key comparison,POULSBO_USERSPACE,CONFIRMED,On key difference calls fixed scene setup 0x29fbd and stores key at scene +0x53c,0x00029251,0x00029fbd,,
0x0002fabd,0x0003fabd,FUN_0003fabd,USE/USSE next-instruction reservation,SGX_SPECIFIC,CONFIRMED,Advances eight-byte instruction cursor and zeros both words; psb_use.c assertion,0x00030e22;0x00030a09,none,use_next_inst;psb_use.c,
0x000287ff,0x000387ff,FUN_000387ff,presence-mask scene state and program builder,SGX_SPECIFIC,CONFIRMED,Emits mask-selected state words and creates a separate USE/USSE state program and relocatable output,0x00028fff,0x00030ffd;0x00030e22;0x00030a09;0x0003a82c,emit_mte_state;psb_scene_state.c,
0x0003a82c,0x0004a82c,FUN_0004a82c,compound program-address relocation,DRM_PSB,CONFIRMED,Calls three relocation helpers for one destination word with masks 0xf 0xf0 and 0x7ff00,0x00040355;0x000287ff;0x00029385,0x0003773b;0x00037621,,
0x0004f3ef,0x0005f3ef,FUN_0005f3ef,dirty-state atom dispatcher,DRI_GLUE,CONFIRMED,Walks context atom list +0x698 count +0x69c and calls atom +0xc on dirty-mask intersection,indirect callers,atom callbacks including 0x0002d124,,
0x0002b3d4,0x0003b3d4,FUN_0003b3d4,install state atom list,DRI_GLUE,CONFIRMED,Allocates 0x44 bytes and copies 17 static atom pointers from ELF 0x2bb200 to context +0x698,0x000371f0,_mesa_malloc;_mesa_memcpy,,
0x000d12f5,000e12f5,FUN_000e12f5,VBO DrawElements frontend,GENERIC_MESA,CONFIRMED,VBO installed slot +0x108; calls validation then 0xd106d,,0x000d106d;0x000d11c4,,_mesa_validate_DrawElements
0x000d106d,000e106d,FUN_000e106d,VBO DrawRangeElements frontend,GENERIC_MESA,CONFIRMED,Builds 12-byte primitive and 16-byte index descriptor; invokes VBO +0x3588,,0x00048f05,,_mesa_validate_DrawRangeElements
0x00048f05,00058f05,FUN_00058f05,installed Poulsbo VBO draw_prims hook,DRI_GLUE,CONFIRMED,Context 0x48592 stores at VBO +0x3588; calls _tnl_draw_prims,,0x000e1a49,,_tnl_draw_prims
0x00048eb8,00058eb8,FUN_00058eb8,installed TNL render hook,DRI_GLUE,CONFIRMED,Context 0x48592 stores at TNL +0; invokes TNL pipeline,,0x000e17f9,,_tnl_run_pipeline
0x00052fcc,00062fcc,FUN_00062fcc,installed TNL stage run callback,DRI_GLUE,CONFIRMED,24-byte stage table entry at 0x2b458c +0x14,,0x000dcc4a,,clip_vb
0x000ab557,000bb557,_mesa_get_fixed_func_fragment_program,fixed-function fragment program selection,GENERIC_MESA,CONFIRMED,No-texture key cache; creates program through 0xaa97c,,0x000aa97c,,_mesa_search_program_cache
0x000aa97c,000ba97c,FUN_000ba97c,fixed-function primary-color MOV END builder,GENERIC_MESA,CONFIRMED,No-texture/no-fog/no-specular branch emits opcodes 0x2b and 0x19,,0x000aa197;0x000a9c0a,,_mesa_alloc_instructions
0x00033490,00043490,FUN_00043490,Mesa fragment to UniFlex input conversion,SGX_SPECIFIC,CONFIRMED,64-byte Mesa records through 0x31381/0x310e0 to 132-byte UniFlex records,,0x00031381;0x0003503d,,
0x001c606c,001d606c,FUN_001d606c,USC lowering allocation pipeline,SGX_SPECIFIC,CONFIRMED,Selected two-operation input still not reduced to output records,,multiple,,
0x001fa3ea,0020a3ea,FUN_0020a3ea,USC emission dispatch,SGX_SPECIFIC,CONFIRMED,IR variant switch; sends lowered instructions to leaf encoder,,0x002400eb,,
0x002400eb,002500eb,FUN_002500eb,USC leaf emission wrapper,SGX_SPECIFIC,CONFIRMED,Constructs assembler record and invokes 0x25309a,,0x0025309a,,
0x001c22b0,0x001d22b0,FUN_001d22b0,UniFlex input control-flow and instruction lowering dispatcher,SGX_SPECIFIC,CONFIRMED,P7H-004: case 0x35 creates terminator; ordinary 0x48 dispatches by operand category,0x001c3ba5,0x001be5bc;0x00219998,usc/usc.c,
0x001be5bc,0x001ce5bc,FUN_001ce5bc,UniFlex operand category selector,SGX_SPECIFIC,CONFIRMED,P7H-004: reads operand descriptor +0x08 and feature flag; zero for selected MOV destination/source,0x001c22b0;0x00219998,,,
0x00219998,0x00229998,FUN_00229998,scalar floating-point UniFlex lowering,SGX_SPECIFIC,CONFIRMED,P7H-004: selected MOV 0x48 enters opcode-1 scalar path; four output-mask components visited; final GPU count not inferred,0x001c22b0,0x00212b25;0x00211c4d;0x00214363,usc/icvt_f32.c,
0x001c95f7,0x001d95f7,FUN_001d95f7,post-transform instruction count and label assignment,SGX_SPECIFIC,CONFIRMED,P7H-002: stores main count at ELF 0x001cab00 after traversal and possible inserted instructions,0x001c606c,0x001c72a1,usc/finalise.c,
