from_elf_va,to_elf_va,edge,condition,state_field,evidence_class,evidence,limit
0x000483a3,0x00051860,direct_call,new_mode=0,frame_tracker_mode,CONFIRMED,psb_dri.so:0x483a3,higher level caller roles partly UNKNOWN
0x00051860,0x0002673d,resolved_indirect,old_mode=3 and new_mode differs,renderer+0x28;context+0x728,CONFIRMED,psb_dri.so:0x518c7-0x518d7;0x266f1,context table assumed retained
0x0002673d,0x0002a39a,direct_call,scene finalization,context+0x81c,CONFIRMED,psb_dri.so:0x2673d,none
0x0002a39a,0x00037b51,direct_call,TA command preparation,scene;outbuf;fence,CONFIRMED,psb_dri.so:0x2a39a,hardware command semantics UNKNOWN
0x00037b51,UNKNOWN,import_call,PSB command index 0;size 0x90,drmCommandWrite,CONFIRMED,psb_dri.so:0x37fb4,actual libdrm and kernel execution UNKNOWN
0x000d1031,0x000d12f5,callback_install,new context,VBO +0x108,CONFIRMED,psb_dri.so:0x000d1031;0x000d12f5;P7G-010,Generic Mesa vbo_exec_array_init installs slot +0x108; its call from driver context setup is not directly established here
0x000d12f5,0x000d106d,direct_call,validated index input,GL index type/count,CONFIRMED,psb_dri.so:0x000d12f5;0x000d106d;P7G-010,DrawElements to DrawRangeElements
0x000d106d,0x00048f05,resolved_indirect,valid primitive,VBO +0x3588,CONFIRMED,psb_dri.so:0x000d106d;0x00048f05;P7G-010,VBO draw_prims hook
0x00048f05,0x000e1a49,direct_call,driver draw,context+0x778,CONFIRMED,psb_dri.so:0x00048f05;0x000e1a49;P7G-010,generic TNL draw
0x000e1a49,0x00048eb8,resolved_indirect,TNL stage entry,TNL +0,CONFIRMED,psb_dri.so:0x000e1a49;0x00048eb8;P7G-010,TNL hook
0x00048eb8,0x000e17f9,direct_call,Mesa state updated,TNL pipeline,CONFIRMED,psb_dri.so:0x00048eb8;0x000e17f9;P7G-010,run pipeline
0x000e17f9,0x00052fcc,resolved_indirect,pipeline stage active,stage 0x2b458c +0x14,CONFIRMED,psb_dri.so:0x000e17f9;0x00052fcc;P7G-010,stage run callback
0x00052fcc,0x000dcc4a,direct_call,software vertex branch,vertex mask and clip context,CONFIRMED,psb_dri.so:0x00052fcc;0x000dcc4a;P7G-010,clip stage
0x000ab557,0x000aa97c,resolved_indirect,fixed fragment cache miss,fragment program object,CONFIRMED,psb_dri.so:0x000ab557;0x000aa97c;P7G-014,Selected-input success and generated bytes remain UNKNOWN
0x000aa97c,0x00033490,state_flow,fragment program selected,fp+0x18/+0x1198,INFERRED,psb_dri.so:0x000aa97c;0x00033490;P7G-008,Selected-input success and generated bytes remain UNKNOWN
0x00033490,0x001c606c,state_flow,fragment compile,UniFlex 132-byte records,INFERRED,psb_dri.so:0x00033490;0x001c606c;P7G-008,Selected-input success and generated bytes remain UNKNOWN
0x001c606c,0x001fb7af,direct_call,lowering succeeds,USC IR and allocation,CONFIRMED,psb_dri.so:0x001c606c;0x001fb7af;P7G-014,Selected-input success and generated bytes remain UNKNOWN
0x001fb7af,0x001fa3ea,direct_call,main/secondary emission,USC IR,CONFIRMED,psb_dri.so:0x001fb7af;0x001fa3ea;P7G-014,Selected-input success and generated bytes remain UNKNOWN
